title,title_id,genre,authors,weekdays,length,subscribers,views,likes,status,synopsis,rating,year
Moonstruck,7186,ROMANCE,"youngmo, jellyfish",THURSDAY,Short,64247,2320631,146485,ONGOING,"Godaan ada di mana-mana! Seberapa kuat ketulusan keteguhan hati manusia? Bagaimana jadinya jika hal-hal yang memanusiakan manusia diuji oleh berbagai macam godaan yang mungkin tak pernah terpikirkan sebelumnya? Hati-hati dengan sekeliling, mereka siap menggoda!",3.35,2024
To Have an Affair,7184,ROMANTIC FANTASY,"Team Woosa, SOY MEDIA, Son Sehee",TUESDAY,Medium,195090,5220191,316243,ONGOING,"Scarlett Chandler dibesarkan sebagai putri yang penurut sepanjang hidupnya. Demi menjalankan perintah ayahnya, dia pergi ke ibu kota untuk menikah dengan Duke Huntington.

Namun, sang calon suami ternyata sudah memiliki simpanan, dan Scarlett hanya dianggap sebagai tabir untuk menyembunyikan hubungan tersebut serta 'alat' untuk melahirkan keturunan. Ayah Scarlett pun telah mengetahui kebusukan calon menantunya dan tetap 'menjual' Scarlett kepadanya.

Scarlett akhirnya sadar bahwa kepatuhannya tidak mendatangkan cinta, dan berniat untuk membalas dendam demi mendapatkan kebebasannya. Tapi di tengah usaha balas dendamnya itu, seorang kesatria tampan dan calon suksesor kekaisaran malah mendekatinya!",5,2024
Absolute Reign,7183,FANTASY,"sidae, Y.H.JANG",SUNDAY,Medium,56424,2315203,183585,ONGOING,"Sang legenda, Jeok Yigeon, tetap tidak bisa binasa walau nama-nama besar legenda lainnya seperti Naeng Yisang, Yang Hwayeong, dan Cheon Mu Ak dikirim untuk membunuhnya.
Sebenarnya ada apa? Kenapa mereka malah menghilang?
Apa sebenarnya yang terjadi pada mereka semua?!",5,2024
Still Glittering,7075,DRAMA,Sloth,WEDNESDAY,Short,12329,236376,38396,COMPLETED,"Sepuluh tahun setelah lulus SMA, sekolompok sahabat lama yang pernah mengalami tahun-tahun terindah bersama akhirnya tumbuh menjadi orang dewasa yang paling tidak mereka inginkan. Hingga salah satu teman mereka, Wan'Er menghilang. Mereka berkumpul bersama lagi, untuk mencari dan mengetahui nasib Wan'Er. Mau tidak mau, mereka saling terlibat kembali dalam hidup satu sama lain.",5,2024
Love Again?,7051,DRAMA,oliolio,FRIDAY,Medium,9377,112702,7955,ONGOING,"Hidup ini penuh dengan variabel dan hal yang tidak diketahui. Ketika membuat keputusan, apakah kamu benar-benar yakin bahwa pilihan itu benar? Jika kita dapat memahami sebab dan akibat lebih awal, apakah kita masih akan membuat keputusan yang sama tanpa penyesalan? Lin Jingyue dan Jin Xuanyu adalah pasangan yang pernikahannya di ambang kehancuran. Dalam perjalanan untuk mendaftarkan perceraian, Jingyue mengalami kecelakaan mobil. Ketika dia bangun lagi, dia menemukan bahwa dia telah kembali ke tahun ketika dia pertama kali bertemu dengan satu-satunya pria yang pernah dia cintai dalam hidupnya, Jin Xuanyu. Takdir memberinya kesempatan untuk menciptakan kembali hidupnya dan membawa mantan kekasihnya, Lance, ke dalam kehidupan barunya. Pada titik awal cinta ini, akankah Jingyue memilih nasib yang sama lagi tanpa penyesalan atau menciptakan kemungkinan lain?",5,2024
Tied into Love,7046,ROMANCE,Leebum,SATURDAY,Short,29992,359102,28523,HIATUS,"Lee Siwon adalah penulis thriller terkenal yang tak pernah gagal dalam mencetak karya ‘best seller’. Di puncak karirnya, muncullah kasus pembunuhan yang menghebohkan semua orang dikarenakan metodenya yang mengikuti metode dalam novel thriller milik Lee Siwon yang berudul “Rope”. Akibat rasa bersalah dan traumanya, Lee Siwon meninggalkan genre thriller dan memutuskan untuk menulis novel romansa… Tapi masalahnya, Lee Siwon tak punya pengalaman yang bisa membantunya. Pada akhirnya, ia meminta teman lamanya, Sodam, untuk belajar tentang ‘cinta’. Apakah hubungan mereka akan menyerupai novel romansa sesungguhnya?",5,2024
I Simply Cared For My Frail Father,7044,ROMANTIC FANTASY,"HANA, JENJEN, Moksaedal",FRIDAY,Short,149583,4227161,355812,HIATUS,"Yvriel kembali ke masa lalu setelah mati di tangan kaisar yang ingin menyingkirkan keluarganya. Kali ini, Yvriel harus mencari cara agar ayahnya kembali sehat dan melindungi keluarga mereka!",5,2024
Transference,7043,ROMANCE,Hyang-yu,WEDNESDAY,Medium,60162,1472677,166732,ONGOING,"Gong Sooah si mahasiswi ""membosankan"" bertemu dengan seniornya di kampus, Yoon Taeyang yang entah kenapa tiba-tiba menangis saat menerima buku darinya.
Ternyata hal itu mulai terjadi padanya sejak SMA, apa benar Taeyang bisa merasakan perasaan yang dirasakan orang lain hanya dengan melihatnya?
Inilah pertemuan antara lelaki yang terlalu perasa, dan perempuan tak bisa merasakan lebih dari kata cukup.",5,2024
The Knight Only Lives Today,7042,FANTASY,"IAN, Lee hyunmin, soulpung",TUESDAY,Medium,39724,1479242,139752,ONGOING,"""Kau mungkin bisa jadi kesatria.""

Kalimat yang didengar Enkrid saat masih kecil ini mendasari mimpinya untuk menjadi seorang kesatria. Namun, seiring berjalannya waktu, dia sadar bahwa usaha untuk meraih mimpinya itu berakhir sia-sia.

Walau semua orang menertawakan dan meremehkannya, Enkrid tetap berjuang dan berlatih sekuat tenaga. Hingga suatu hari, dia ditikam dan berakhir meninggal di medan perang.

Saat Enkrid berpikir mimpinya sudah kandas, dia kembali terbangun pada 'hari kematiannya'. Apakah ini kesempatan yang diberikan kepada Enkrid demi mewujudkan mimpinya menjadi kesatria?",5,2024
I Grabbed the Leash of the Blind Beast,7041,ROMANTIC FANTASY,"The Greedy Gatsby, PPANG, Kayeh",TUESDAY,Medium,261434,8238168,559085,ONGOING,"Grand Duke sekaligus Kesatria terhebat kekaisaran, Ileon Clevent, kehilangan penglihatannya akibat perang dan mengalami depresi akut. Namun, berkat kemunculan pelayan baru bernama Rona, Ileon berhasil bangkit dan menjalani kehidupannya lagi.

Rona juga mencoba untuk memulihkan penglihatan Ileon, tetapi di tengah prosesnya, dia menemukan identitas aslinya dan kembali tinggal bersama keluarganya tanpa sempat berpamitan dengan Ileon.

Saat Ileon mendapatkan penglihatannya kembali, dia pun menjelajahi kekaisaran demi menemukan Rona. Apakah Ileon akan berhasil menemukan Rona dengan identitas aslinya?",5,2024
No Office Romance!,7040,ROMANCE,"Dooboo, Namsoo",MONDAY,Medium,42656,1033650,110894,ONGOING,"Apa benar cinta pertama itu istimewa?
Jika bertemu lagi dengan cinta pertama di usia dewasa,
apakah kita masih akan berdebar-debar?

Dari cinta pertama ke teman, dari teman ke rekan kerja.
Bisakah kami mempertahankan misi untuk tidak menjalin hubungan percintaan di kantor?

Karya kolaborasi author ""One of a Kind Romance"" Dooboo dengan author ""Proper Dating Guide"" Namsoo. Inilah kisah romantis di kantor yang diciptakan oleh dua penulis romansa yang terpercaya!",5,2024
